# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
        0.243594     0.000846743     0.000846743     0.000846743
         0.25902     0.000768467     0.000768467     0.000768467
        0.275423     0.000676691     0.000676691     0.000676691
        0.292864     0.000592937     0.000592937     0.000592937
        0.311411     0.000531224     0.000531224     0.000531224
        0.331131     0.000471605     0.000471605     0.000471605
        0.352101     0.000413309     0.000413309     0.000413309
        0.374398     0.000366748     0.000366748     0.000366748
        0.398107      0.00032335      0.00032335      0.00032335
        0.423318     0.000284173     0.000284173     0.000284173
        0.450125     0.000250608     0.000250608     0.000250608
         0.47863     0.000219856     0.000219856     0.000219856
         0.50894     0.000193239     0.000193239     0.000193239
         0.54117     0.000169351     0.000169351     0.000169351
         0.57544     0.000148445     0.000148445     0.000148445
        0.611881     0.000129906     0.000129906     0.000129906
        0.650629      0.00011361      0.00011361      0.00011361
        0.691831     9.92667e-05     9.92667e-05     9.92667e-05
        0.735642     8.66472e-05     8.66472e-05     8.66472e-05
        0.782228     7.55715e-05     7.55715e-05     7.55715e-05
        0.831764     6.58579e-05     6.58579e-05     6.58579e-05
        0.884437     5.73444e-05     5.73444e-05     5.73444e-05
        0.940445     4.98908e-05     4.98908e-05     4.98908e-05
               1     4.33718e-05     4.33718e-05     4.33718e-05
         1.06333     3.76757e-05     3.76757e-05     3.76757e-05
         1.13066     3.27031e-05     3.27031e-05     3.27031e-05
         1.20226     2.83658e-05     2.83658e-05     2.83658e-05
          1.2784      2.4586e-05      2.4586e-05      2.4586e-05
         1.35936     2.12952e-05     2.12952e-05     2.12952e-05
         1.44544     1.84321e-05     1.84321e-05     1.84321e-05
         1.53697      1.5943e-05      1.5943e-05      1.5943e-05
         1.63431     1.37811e-05     1.37811e-05     1.37811e-05
          1.7378     1.19047e-05     1.19047e-05     1.19047e-05
         1.84785     1.02772e-05     1.02772e-05     1.02772e-05
         1.96487     8.86673e-06     8.86673e-06     8.86673e-06
          2.0893     7.64524e-06     7.64524e-06     7.64524e-06
          2.2216     6.58812e-06     6.58812e-06     6.58812e-06
         2.36229      5.6739e-06      5.6739e-06      5.6739e-06
         2.51189     4.88376e-06     4.88376e-06     4.88376e-06
         2.67096     4.20134e-06     4.20134e-06     4.20134e-06
          2.8401     3.61232e-06     3.61232e-06     3.61232e-06
         3.01995     3.10423e-06     3.10423e-06     3.10423e-06
         3.21119     2.66623e-06     2.66623e-06     2.66623e-06
         3.41455     2.28888e-06     2.28888e-06     2.28888e-06
         3.63078     1.96395e-06     1.96395e-06     1.96395e-06
         3.86071     1.68434e-06     1.68434e-06     1.68434e-06
         4.10519     1.44386e-06     1.44386e-06     1.44386e-06
         4.36516     1.23713e-06     1.23713e-06     1.23713e-06
         4.64159     1.05953e-06     1.05953e-06     1.05953e-06
         4.93552     9.07024e-07     9.07024e-07     9.07024e-07
         5.24807     7.76134e-07     7.76134e-07     7.76134e-07
         5.58042     6.63852e-07     6.63852e-07     6.63852e-07
         5.93381     5.67579e-07     5.67579e-07     5.67579e-07
         6.30957     4.85073e-07     4.85073e-07     4.85073e-07
         6.70914     4.14397e-07     4.14397e-07     4.14397e-07
           7.134     3.53882e-07     3.53882e-07     3.53882e-07
         7.58578     3.02091e-07     3.02091e-07     3.02091e-07
         8.06616     2.57784e-07     2.57784e-07     2.57784e-07
         8.57696     2.19897e-07     2.19897e-07     2.19897e-07
         9.12011     1.87512e-07     1.87512e-07     1.87512e-07
         9.69765     1.59842e-07     1.59842e-07     1.59842e-07
         10.3118     1.36209e-07     1.36209e-07     1.36209e-07
         10.9648     1.16032e-07     1.16032e-07     1.16032e-07
         11.6591     9.88118e-08     9.88118e-08     9.88118e-08
         12.3975      8.4121e-08      8.4121e-08      8.4121e-08
         13.1826     7.15923e-08     7.15923e-08     7.15923e-08
         14.0174     6.09113e-08     6.09113e-08     6.09113e-08
          14.905     5.18086e-08     5.18086e-08     5.18086e-08
         15.8489     4.40535e-08     4.40535e-08     4.40535e-08
         16.8526     3.74486e-08     3.74486e-08     3.74486e-08
         17.9198     3.18253e-08     3.18253e-08     3.18253e-08
         19.0546      2.7039e-08      2.7039e-08      2.7039e-08
         20.2613     2.29665e-08     2.29665e-08     2.29665e-08
         21.5443     1.95024e-08     1.95024e-08     1.95024e-08
         22.9087     1.65565e-08     1.65565e-08     1.65565e-08
         24.3594     1.40522e-08     1.40522e-08     1.40522e-08
          25.902     1.19237e-08     1.19237e-08     1.19237e-08
         27.5423     1.01152e-08     1.01152e-08     1.01152e-08
         29.2864     8.57906e-09     8.57906e-09     8.57906e-09
         31.1411     7.27451e-09     7.27451e-09     7.27451e-09
         33.1131     6.16696e-09     6.16696e-09     6.16696e-09
         35.2101     5.22688e-09     5.22688e-09     5.22688e-09
         37.4398     4.42915e-09     4.42915e-09     4.42915e-09
         39.8107     3.75238e-09     3.75238e-09     3.75238e-09
         42.3318     3.17837e-09     3.17837e-09     3.17837e-09
         45.0125     2.69161e-09     2.69161e-09     2.69161e-09
          47.863     2.27895e-09     2.27895e-09     2.27895e-09
          50.894     1.92918e-09     1.92918e-09     1.92918e-09
          54.117     1.63277e-09     1.63277e-09     1.63277e-09
          57.544     1.38165e-09     1.38165e-09     1.38165e-09
         61.1881     1.16894e-09     1.16894e-09     1.16894e-09
         65.0629      9.8879e-10      9.8879e-10      9.8879e-10
         69.1831     8.36258e-10     8.36258e-10     8.36258e-10
         73.5642     7.07133e-10     7.07133e-10     7.07133e-10
         78.2228     5.97843e-10     5.97843e-10     5.97843e-10
         83.1764     5.05359e-10     5.05359e-10     5.05359e-10
         88.4437     4.27112e-10     4.27112e-10     4.27112e-10
         94.0445     3.60921e-10     3.60921e-10     3.60921e-10
             100      3.0494e-10      3.0494e-10      3.0494e-10
         106.333     2.57601e-10     2.57601e-10     2.57601e-10
         113.066     2.17577e-10     2.17577e-10     2.17577e-10
         120.226     1.83744e-10     1.83744e-10     1.83744e-10
          127.84     1.55149e-10     1.55149e-10     1.55149e-10
         135.936     1.30985e-10     1.30985e-10     1.30985e-10
         144.544     1.10569e-10     1.10569e-10     1.10569e-10
         153.697     9.33213e-11     9.33213e-11     9.33213e-11
         163.431     7.87533e-11     7.87533e-11     7.87533e-11
          173.78     6.64504e-11     6.64504e-11     6.64504e-11
         184.785     5.60618e-11     5.60618e-11     5.60618e-11
